43DA00C9,DNIS
43FD084C,ICAIL
441458FA,CARE
44616FF1,PPoPP
447B80D7,ASWEC
4499A295,MICRO
449CDF39,CSSE
44BC5EE8,MUE
455B6732,S&P
4574F859,AMSTA
45ADA753,InfoSecCD
45C96A92,NGITS
45D87245,SASP
45F233EC,SPLASH
4650D622,AMT
4664FD6F,CASoN
466DD17F,WETICE
47050C03,PETRA
4718BF06,CPM
4743F3A5,WoLLIC
4773F002,CDC
478D1F3B,EGSR
42B9FC1C,SAB
42C62517,CIT
42CF1BB8,CIARP
43DCE876,SenSys
443AAA9F,ExaCt
443C9649,VECIMS
4484A15D,PEPM
44B16F02,EuroCG
44B79239,MTAGS
45986FDA,AHS
459A9715,AST
46580135,TPDL
46706268,INTETAIN
4672F3B6,MASS
46E57E89,VISSOFT
46F34EFB,EUROCON
471F93FA,CIAC
4772219F,CIDM
47A83BFE,IWINAC
47B51FBD,ECRTS
42D58280,RAW
4306948C,SIGCSE
43570143,TAP
439B9AD2,ICIC
43B17EAF,PDP
43C320E5,ESOP
43D1DCC1,ANCS
43DFAE0A,OOPSLA
447CF406,ECIS
44AECA52,CSA
453F3F1D,IPSN
453FBF5D,VAST
4554E150,GCC
45F99F55,ICITS
462744F4,VTC
46505CF0,ICSIPA
465DCDBA,COMAD
466F15E7,SAGT
46E1AB3B,FCT
472461FB,DSOM
47260F7B,PervasiveHealth
4765E125,LANOMS
4797C437,ECEG
47B42F95,WOSP
47C77B94,CBMI
8516B55A,EMBC
4361BD82,WICSA
437E7D49,IWPT
43AEF2F9,Pervasive
441CE122,SDM
44B7D8B2,IRI
44C5464F,BIBE
4527DE98,ICARA
457C90F5,WCE
457CED2E,Edutainment
45A9AA34,PASCO
45B09C45,ICER
461C83ED,SEAA
465EFAEC,MUM
466F7BE2,NMR
46AB47BD,CSIE
46E64AD9,NCA
470B05DE,ICCSA
4783F0C2,PROMAS
478794CB,WI
47CB8578,SCOPES
42D4CF15,ICTAC
436312EA,RCIS
437CD902,TKE
43805E25,HERCMA
43B385AB,WINSYS
43E5D455,ALGOSENSORS
44087830,GPC
447AFBD7,AAA-IDEA
4492F51B,ICSEng
44B13001,SIGCOMM
44C084AC,JCKBSE
44D4200D,UIC
44D951AC,PIMRC
45A0DDC1,ICARCV
45A87C40,WFLP
45CC165B,LICS
45D8562E,AMCIS
45FD9DD4,PRICAI
462FCD74,MLDM
46C28EA3,SISAP
46D869D6,EACL
